"","KO","Gene_identification","A","B","C","D","Target","Target_2","Category","GeneID","Full_GeneName","Notes"
"613","K08790","STK38, NDR; serine/threonine kinase 38 [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614","K01358","clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","K14847","RPF2; ribosome production factor 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","K12191","CHMP2A; charged multivesicular body protein 2A","Structural complex","Genetic information processing","Protein processing","ESCRT-III complex",NA,NA,NA,NA,NA,NA
"617","K11844","USP16_45; ubiquitin carboxyl-terminal hydrolase 16/45 [EC:3.4.19.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618","K12375","ARSI_J; arylsulfatase I/J [EC:3.1.6.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","K09773","ppsR; [pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","K02866","RP-L10e, RPL10; large subunit ribosomal protein L10e","Structural complex","Genetic information processing","Ribosome","Ribosome, archaea",NA,NA,NA,NA,NA,NA
"621","K02866","RP-L10e, RPL10; large subunit ribosomal protein L10e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"622","K09495","CCT3, TRIC5; T-complex protein 1 subunit gamma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","K12666","OST1, RPN1; oligosaccharyltransferase complex subunit alpha (ribophorin I)","Pathway module","Carbohydrate and lipid metabolism","Glycan metabolism","N-glycosylation by oligosaccharyltransferase",NA,NA,NA,NA,NA,NA
"624","K05633","AIP5, WWP1; atrophin-1 interacting protein 5 (WW domain containing E3 ubiquitin protein ligase 1) [EC:2.3.2.26]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","K12495","IQSEC; IQ motif and SEC7 domain-containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626","K11255","NCOA2, TIF2, KAT13C; nuclear receptor coactivator 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","K09536","DNAJC16; DnaJ homolog subfamily C member 16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628","K06237","COL4A; collagen, type IV, alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","K04597","BAI2; brain-specific angiogenesis inhibitor 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","K11838","USP7, UBP15; ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","K07874","RAB1A; Ras-related protein Rab-1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","K18733","LARP6; la-related protein 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633","K01408","IDE, ide; insulysin [EC:3.4.24.56]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634","K18810","CYCD1_2_4; cyclin D1/2/4, plant","Functional set","Environmental information processing","Cell signaling","Cell cycle - G1/S transition",NA,NA,NA,NA,NA,NA
"635","K07025","K07025; putative hydrolase of the HAD superfamily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","K01191","E3.2.1.24; alpha-mannosidase [EC:3.2.1.24]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637","K14683","SLC34A, NPT, nptA; solute carrier family 34 (sodium-dependent phosphate cotransporter)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","K00816","CCBL; kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","K05868","CCNB; cyclin B","Functional set","Environmental information processing","Cell signaling","Cell cycle - G2/M transition",NA,NA,NA,NA,NA,NA
"640","K05665","ABCC1; ATP-binding cassette, subfamily C (CFTR/MRP), member 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641","K03040","rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]","Structural complex","Genetic information processing","RNA polymerase","RNA polymerase, bacteria",NA,NA,NA,NA,NA,NA
"642","K01754","E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]","Pathway module","Nucleotide and amino acid metabolism","Branched-chain amino acid metabolism","Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",NA,NA,NA,NA,NA,NA
"643","K05701","TJP1, ZO1; tight junction protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","K12881","THOC4, ALY; THO complex subunit 4","Structural complex","Genetic information processing","RNA processing","Exon junction complex (EJC)",NA,NA,NA,NA,NA,NA
"645","K12881","THOC4, ALY; THO complex subunit 4","Structural complex","Genetic information processing","RNA processing","TREX complex",NA,NA,NA,NA,NA,NA
"646","K19013","STAB2, HARE; stabilin-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","K06693","PSMD9; 26S proteasome non-ATPase regulatory subunit 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648","K07735","algH; putative transcriptional regulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","K12860","CDC5L, CDC5, CEF1; pre-mRNA-splicing factor CDC5/CEF1","Structural complex","Genetic information processing","Spliceosome","Spliceosome, 35S U5-snRNP",NA,NA,NA,NA,NA,NA
"650","K12860","CDC5L, CDC5, CEF1; pre-mRNA-splicing factor CDC5/CEF1","Structural complex","Genetic information processing","Spliceosome","Spliceosome, Prp19/CDC5L complex",NA,NA,NA,NA,NA,NA
"651","K03231","EEF1A; elongation factor 1-alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","K14713","SLC39A7, KE4, ZIP7; solute carrier family 39 (zinc transporter), member 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","K00966","GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Ascorbate biosynthesis, plants, glucose-6P => ascorbate",NA,NA,NA,NA,NA,NA
"654","K00966","GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]","Functional set","Metabolism","Nucleotide sugar","Nucleotide sugar biosynthesis, prokaryotes",NA,NA,NA,NA,NA,NA
"655","K00966","GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]","Functional set","Metabolism","Nucleotide sugar","Nucleotide sugar biosynthesis, eukaryotes",NA,NA,NA,NA,NA,NA
"656","K00111","glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657","K14553","UTP18; U3 small nucleolar RNA-associated protein 18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658","K17592","SACS; sacsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659","K02937","RP-L7e, RPL7; large subunit ribosomal protein L7e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"660","K05015","CLCN6; chloride channel 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","K03921","FAB2, SSI2, desA1; acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","K11252","H2B; histone H2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","K00253","IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]","Pathway module","Nucleotide and amino acid metabolism","Branched-chain amino acid metabolism","Leucine degradation, leucine => acetoacetate + acetyl-CoA",NA,NA,NA,NA,NA,NA
"664","K00914","PIK3C3, VPS34; phosphatidylinositol 3-kinase [EC:2.7.1.137]",NA,NA,NA,NA,"Phagotrophy","Phagosome associated","Phagosome maturation","phosphatidylinositol 3-kinase","phosphatidylinositol 3-kinase [EC:2.7.1.137]","McKie-Krisberg et al. 2018"
"665","K00914","PIK3C3, VPS34; phosphatidylinositol 3-kinase [EC:2.7.1.137]",NA,NA,NA,NA,"Phagotrophy","Motility and prey recognition","Motility and prey recognition","PIK3C3, VPS34","phosphatidylinositol 3-kinase [EC:2.7.1.137]","Flannagan et al. 2012; Niedergang and Grinstein 2018"
"666","K00914","PIK3C3, VPS34; phosphatidylinositol 3-kinase [EC:2.7.1.137]",NA,NA,NA,NA,"Phagotrophy","Phagosome associated","Phagosome maturation","PIK3C3, VPS34","Phosphatidylinositol 3-kinase","McKie-Krisberg et al. 2018"
"667","K12450","RHM; UDP-glucose 4,6-dehydratase [EC:4.2.1.76]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","K11298","HMG2L1; high mobility group protein 2-like 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","K06619","ABL1; abelson tyrosine-protein kinase 1 [EC:2.7.10.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","K16507","DCHS1_2, PCDH16_23; protocadherin-16/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","K17917","SNX1_2; sorting nexin-1/2",NA,NA,NA,NA,"Phagotrophy","Endocytosis","Endocytosis","SNX1_2","Sorting nexin-1/2","McKie-Krisberg et al. 2018; Yutin et al. 2009"
"672","K01539","ATP1A; sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","K00605","gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","Photorespiration",NA,NA,NA,NA,NA,NA
"674","K00859","coaE; dephospho-CoA kinase [EC:2.7.1.24]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Coenzyme A biosynthesis, pantothenate => CoA",NA,NA,NA,NA,NA,NA
"675","K03012","RPB4, POLR2D; DNA-directed RNA polymerase II subunit RPB4","Structural complex","Genetic information processing","RNA polymerase","RNA polymerase II, eukaryotes",NA,NA,NA,NA,NA,NA
"676","K03648","UNG, UDG; uracil-DNA glycosylase [EC:3.2.2.27]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","K09488","TRAP1, HSP75; TNF receptor-associated protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678","K18630","TEKT3; tektin-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","K03098","APOD; apolipoprotein D and lipocalin family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","K17339","ATL; atlastin [EC:3.6.5.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","K09117","K09117; uncharacterized protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","K11247","SH3GL; endophilin-A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","K02013","ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]","Structural complex","Environmental information processing","Metallic cation, iron-siderophore and vitamin B12 transport system","Iron complex transport system",NA,NA,NA,NA,NA,NA
"684","K13348","MPV17; protein Mpv17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","K09223","GFI1; growth factor independent 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","K09272","SSRP1; structure-specific recognition protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","K04886","KCNB2; potassium voltage-gated channel Shab-related subfamily B member 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","K02987","RP-S4e, RPS4; small subunit ribosomal protein S4e","Structural complex","Genetic information processing","Ribosome","Ribosome, archaea",NA,NA,NA,NA,NA,NA
"689","K02987","RP-S4e, RPS4; small subunit ribosomal protein S4e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"690","K03927","CES2; carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","K02704","psbB; photosystem II CP47 chlorophyll apoprotein","Structural complex","Energy metabolism","Photosynthesis","Photosystem II","Energy Acquisition","Photosynthesis","Photosynthesis","psbB","photosystem II CP47 chlorophyll apoprotein",""
"692","K02876","RP-L15, MRPL15, rplO; large subunit ribosomal protein L15","Structural complex","Genetic information processing","Ribosome","Ribosome, bacteria",NA,NA,NA,NA,NA,NA
"693","K02876","RP-L15, MRPL15, rplO; large subunit ribosomal protein L15","Structural complex","Genetic information processing","Ribosome","Ribosome, archaea",NA,NA,NA,NA,NA,NA
"694","K12199","VTA1, LIP5; vacuolar protein sorting-associated protein VTA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","K02377","TSTA3, fcl; GDP-L-fucose synthase [EC:1.1.1.271]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","K06839","SLIT2; slit 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","K01551","arsA, ASNA1; arsenite-transporting ATPase [EC:3.6.3.16]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698","K00006","GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699","K14165","K14165; atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700","K06689","UBE2D, UBC4, UBC5; ubiquitin-conjugating enzyme E2 D [EC:2.3.2.23]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701","K15276","SLC35B2, PAPST1; solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702","K09419","HSFF; heat shock transcription factor, other eukaryote",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","K01868","TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, prokaryotes",NA,NA,NA,NA,NA,NA
"704","K01868","TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, eukaryotes",NA,NA,NA,NA,NA,NA
"705","K01693","hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]","Pathway module","Nucleotide and amino acid metabolism","Histidine metabolism","Histidine biosynthesis, PRPP => histidine",NA,NA,NA,NA,NA,NA
"706","K01230","MAN1; mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]","Pathway module","Carbohydrate and lipid metabolism","Glycan metabolism","N-glycan precursor trimming",NA,NA,NA,NA,NA,NA
"707","K01230","MAN1; mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]","Pathway module","Carbohydrate and lipid metabolism","Glycan metabolism","N-glycan biosynthesis, high-mannose type",NA,NA,NA,NA,NA,NA
"708","K08291","GRK4_5_6; G protein-coupled receptor kinase [EC:2.7.11.16]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","K03141","TFIIH1, GTF2H1, TFB1; transcription initiation factor TFIIH subunit 1","Structural complex","Genetic information processing","Repair system","Holo-TFIIH complex",NA,NA,NA,NA,NA,NA
"710","K07204","RAPTOR; regulatory associated protein of mTOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711","K04710","CERS; ceramide synthetase [EC:2.3.1.24]","Pathway module","Carbohydrate and lipid metabolism","Lipid metabolism","Ceramide biosynthesis",NA,NA,NA,NA,NA,NA
"712","K04710","CERS; ceramide synthetase [EC:2.3.1.24]","Pathway module","Carbohydrate and lipid metabolism","Lipid metabolism","Sphingosine biosynthesis",NA,NA,NA,NA,NA,NA
"713","K01920","gshB, GSS; glutathione synthase [EC:6.3.2.3]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Glutathione biosynthesis, glutamate => glutathione",NA,NA,NA,NA,NA,NA
"714","K00789","metK; S-adenosylmethionine synthetase [EC:2.5.1.6]","Pathway module","Nucleotide and amino acid metabolism","Cysteine and methionine metabolism","Cysteine biosynthesis, methionine => cysteine",NA,NA,NA,NA,NA,NA
"715","K00789","metK; S-adenosylmethionine synthetase [EC:2.5.1.6]","Pathway module","Nucleotide and amino acid metabolism","Cysteine and methionine metabolism","Methionine salvage pathway",NA,NA,NA,NA,NA,NA
"716","K00789","metK; S-adenosylmethionine synthetase [EC:2.5.1.6]","Pathway module","Nucleotide and amino acid metabolism","Cysteine and methionine metabolism","Methionine degradation",NA,NA,NA,NA,NA,NA
"717","K00789","metK; S-adenosylmethionine synthetase [EC:2.5.1.6]","Pathway module","Nucleotide and amino acid metabolism","Cysteine and methionine metabolism","Ethylene biosynthesis, methionine => ethylene",NA,NA,NA,NA,NA,NA
"718","K01897","ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","beta-Oxidation, acyl-CoA synthesis","Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","ACSL, fadD","long-chain acyl-CoA synthetase [EC:6.2.1.3]",""
"719","K01897","ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","beta-Oxidation, acyl-CoA synthesis","Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","ACSL, fadD","long-chain acyl-CoA synthetase ",""
"720","K08110","GPC4; glypican 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721","K17607","TIPRL, TIP41; type 2A phosphatase activator TIP41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722","K00432","gpx; glutathione peroxidase [EC:1.11.1.9]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723","K01810","GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","GPI, pgi","glucose-6-phosphate isomerase ",""
"724","K01810","GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Pentose phosphate pathway (Pentose phosphate cycle)","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","GPI, pgi","glucose-6-phosphate isomerase ",""
"725","K01810","GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Ascorbate biosynthesis, plants, glucose-6P => ascorbate","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","GPI, pgi","glucose-6-phosphate isomerase ",""
"726","K02947","RP-S10e, RPS10; small subunit ribosomal protein S10e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"727","K02882","RP-L18Ae, RPL18A; large subunit ribosomal protein L18Ae","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"728","K17301","COPB1, SEC26; coatomer subunit beta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729","K01315","PLG; plasminogen [EC:3.4.21.7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730","K14838","NOP15; nucleolar protein 15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"731","K08057","CALR; calreticulin",NA,NA,NA,NA,"Phagotrophy","Phagosome associated","Phagosome maturation","calreticulin","calreticulin","McKie-Krisberg et al. 2018"
"732","K08057","CALR; calreticulin",NA,NA,NA,NA,"Phagotrophy","Phagosome associated","Phagosome maturation","CALR","Calreticulin",""
"733","K13131","DDX20, GEMIN3; ATP-dependent RNA helicase DDX20 [EC:3.6.4.13]","Structural complex","Genetic information processing","RNA processing","Survival motor neuron (SMN) complex",NA,NA,NA,NA,NA,NA
"734","K03320","amt, AMT, MEP; ammonium transporter, Amt family",NA,NA,NA,NA,"Nutrient processing","AMT","AMT","amt, AMT, MEP","ammonium transporter, Amt family",""
"735","K03320","amt, AMT, MEP; ammonium transporter, Amt family",NA,NA,NA,NA,"Nutrient processing","Inorganic N uptake and assimilation","Inorganic N uptake and assimilation","amt, AMT, MEP","ammonium transporter, Amt family",""
"736","K03262","EIF5; translation initiation factor 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737","K00729","ALG5; dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]","Pathway module","Carbohydrate and lipid metabolism","Glycan metabolism","N-glycan precursor biosynthesis",NA,NA,NA,NA,NA,NA
"738","K03626","EGD2, NACA; nascent polypeptide-associated complex subunit alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"739","K17972","NAA20, NAT3; N-terminal acetyltransferase B complex catalytic subunit [EC:2.3.1.254]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740","K01176","AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"741","K17267","COPG; coatomer subunit gamma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"742","K10251","HSD17B12, KAR, IFA38; 17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.62 1.1.1.330]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","Fatty acid biosynthesis, elongation, endoplasmic reticulum","Phagotrophy","Fatty acid biosynthesis","Fatty acid biosynthesis","HSD17B12, KAR, IFA38","17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase ",""
"743","K00263","E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744","K00164","OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle (TCA cycle, Krebs cycle)","Energy Acquisition","TCA cycle","TCA cycle","OGDH, sucA","2-oxoglutarate dehydrogenase E1 component ",""
"745","K00164","OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Energy Acquisition","TCA cycle","TCA cycle","OGDH, sucA","2-oxoglutarate dehydrogenase E1 component ",""
